,title,keyword,category,score,author,publisher,reviewnum
347,세계사 최대한 쉽게 설명해 드립니다,이집트인 청소년역사 아메리카 히틀러 동아시아 문화 일본,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['36', '38', '8', '1', '17']",만프레트 마이 저자(글) · 김태환 번역,이화북스,256.0
348,군중의 망상,트레이딩 로이터 허드슨 나비효과 아이작 처칠,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['12', '27', '2', '20', '39']",윌리엄 번스타인 저자(글) · 노윤기 번역,포레스트북스,66.0
349,세계사를 바꾼 10가지 약,플레밍 질병 바이엘 약학 감염병 강희제,"['국내도서 > 역사/문화 > 세계사 > 세계사이야기', '국내도서 > 기술/공학 > 의학 > 의학이론 > 의학사', '국내도서 > 기술/공학 > 의학 > 약학 > 약학일반']","['29', '35', '10', '3', '24']",사토 겐타로 저자(글) · 서수지 번역,사람과나무사이,206.0
350,세계사를 바꾼 커피 이야기,이슬람 세계 권력 나폴레옹 프랑스혁명 독일 식민지정책,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 요리 > 와인/커피/음료 > 커피']","['22', '41', '7', '12', '17']",우스이 류이치로 저자(글) · 김수경 번역,사람과나무사이,56.0
351,샤먼 바이블,유대인 이동한 카자흐스탄 천손 천문 파밀리아,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['13', '44', '13', '19', '13']",김정민 저자(글),글로벌콘텐츠,19.0
352,처음 읽는 서양 미술사,미술 레오나르도 예수 네덜란드 마네 로마,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 예술/대중문화 > 예술일반 > 예술사 > 미술사', '국내도서 > 예술/대중문화 > 미술 > 미술사 > 서양미술사']","['0', '43', '14', '7', '36']",이케가미 히데히로 저자(글) · 박현지 번역,탐나는책,17.0
353,시대를 훔친 미술,미술이야기 친부 총체 인상주의 일군 광란,"['국내도서 > 예술/대중문화 > 미술 > 교양미술 > 미술이야기', '국내도서 > 역사/문화 > 세계사 > 세계사이야기']","['32', '26', '29', '0', '13']",이진숙 저자(글),민음사,46.0
354,B급 세계사 2: 인물편,마르틴 세계역사인물 폴로 중국 위인 아프리카,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['20', '33', '7', '7', '33']",김상훈 저자(글) · 김의솔 그림/만화,행복한작업실,33.0
355,처음 읽는 음식의 세계사,유럽 식자재 유라시아 콜럼버스 중국 요리 북동부,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['0', '0', '0', '0', '100']",미야자키 마사카츠 저자(글) · 한세희 번역,탐나는책,1.0
356,화력,전쟁사 유럽 소련 밀리터리 마니아 화기,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['12', '12', '0', '41', '35']",폴 록하트 저자(글) · 이수영 번역,레드리버,19.0
357,썬킴의 영화로 들여다보는 역사,일본 광해군 미제라블 프랑스 쿠바 홍콩,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['14', '14', '18', '27', '27']",썬킴 저자(글),시공아트,26.0
358,성장의 문화,유럽 문화사 맬서스 영국 세계경제사 케네스,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['33', '33', '0', '0', '33']","조엘 모키르 저자(글) · 김민주 , 이엽 번역",에코리브르,4.0
359,아인슈타인: 삶과 우주,취리히 과학자 알베르트 물리학자 독행 노벨물리학상,"['국내도서 > 과학 > 교양과학 > 과학자', '국내도서 > 시/에세이 > 인물/자전적에세이 > 과학자', '국내도서 > 시/에세이 > 인물/자전적에세이 > 역사인물', '국내도서 > 역사/문화 > 세계사 > 세계역사인물', '국내도서 > 역사/문화 > 역사인물 > 세계역사인물']","['50', '25', '5', '10', '10']",월터 아이작슨 저자(글) · 이덕환 번역,까치,26.0
360,짱깨주의의 탄생,키신저 평화체제 미국 경제 샌프란시스코 보수주의 한반도,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['27', '16', '24', '9', '24']",김희교 저자(글),보리출판사,69.0
361,언어의 역사,중국 재탄생 교양세계사 철자법 악센트 언어생활,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 인문 > 언어학 > 언어학일반 > 언어학이론']","['54', '17', '17', '0', '13']",데이비드 크리스털 저자(글) · 서순승 번역,소소의책,44.0
362,광기와 우연의 역사(최신 완역판),유럽 헨델 역사인물 키케로 세계사이야기 톨스토이,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['58', '21', '12', '2', '8']",슈테판 츠바이크 저자(글) · 정상원 번역,이화북스,62.0
363,거의 모든 전쟁의 역사,중국 나폴레옹 기원 오스만 세계대전 페르시아,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 정치/사회 > 국방/군사 > 전쟁/전쟁사']","['36', '36', '10', '5', '14']",제러미 블랙 저자(글) · 유나영 번역,서해문집,54.0
364,좌파의 길,정치 경제 위기 운동 생산 지구,"['국내도서 > 정치/사회 > 사회학 > 사회사상 > 사회주의/신사회주의', '국내도서 > 경제/경영 > 각국경제 > 세계경제사', '국내도서 > 역사/문화 > 세계사 > 교양세계사']","['20', '20', '13', '0', '47']",낸시 프레이저 저자(글) · 장석준 번역,서해문집,20.0
365,알아두면 잘난 척하기 딱 좋은 악인의 세계사,니체 난도질 심연 오늘날 인류 인류 역사 괴물,"['국내도서 > 인문 > 인문학일반 > 인문교양', '국내도서 > 역사/문화 > 세계사 > 세계사이야기']","['25', '0', '25', '0', '50']",이상화 저자(글),노마드,5.0
366,"부역자: 전쟁, 기만, 생존",유대인 펠릭스 이해심 바인 도덕 아우슈비츠,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['50', '25', '0', '25', '0']","이안 부루마 저자(글) · 박경환 , 윤영수 번역",글항아리,4.0
367,세계사의 향방을 가른 금융의 힘,유럽 소련 영국 미국 프랑스 리먼,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['33', '33', '0', '0', '33']","천위루 , 양동 저자(글) · 하진이 번역",사이,5.0
368,지붕 밑의 세계사,욕실 베를린 장벽 다락 발코니 다락방 항쟁,"['국내도서 > 청소년 > 청소년 역사', '국내도서 > 역사/문화 > 세계사 > 세계사이야기', '국내도서 > 역사/문화 > 청소년 역사']","['18', '32', '14', '18', '18']",이영숙 저자(글),창비,32.0
369,바보의 세계,역사 롤프 스티븐 통찰 로버트 교양세계사,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['49', '21', '7', '13', '10']",장프랑수아 마르미옹 저자(글) · 박효은 번역,윌북,82.0
370,달력으로 배우는 세계 역사문화 수업,상륙작전 노르망디 비키니 학교 공부 천황 수영복,"['국내도서 > 청소년 > 청소년 역사', '국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 역사/문화 > 청소년 역사']","['14', '14', '14', '29', '29']",서민영 저자(글),글담출판,7.0
371,처음읽는 수학의 세계사,유클리드 아라비아 데카르트 중국 페르마 아르키메데스,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 과학 > 교양과학 > 교양수학/수학이야기']","['0', '50', '0', '13', '38']",우에가키 와타루 저자(글) · 오정화 번역,탐나는책,11.0
372,미생물 세계사,감염병 에이즈 바이러스 페스트 일본 자궁경부암,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 과학 > 과학이론 > 과학의역사', '국내도서 > 과학 > 생물학 > 미생물학']","['6', '53', '6', '0', '35']",이시 히로유키 저자(글) · 서수지 번역,사람과나무사이,20.0
373,"윈스턴 처칠, 운명과 함께 걷다",역사 운명 인도 독립 국민 순간,"['국내도서 > 정치/사회 > 정치/외교 > 정치가', '국내도서 > 시/에세이 > 인물/자전적에세이 > 정치가/법조인', '국내도서 > 시/에세이 > 인물/자전적에세이 > 역사인물', '국내도서 > 역사/문화 > 세계사 > 세계역사인물', '국내도서 > 역사/문화 > 역사인물 > 세계역사인물']","['0', '67', '0', '0', '33']",박지향 저자(글),아카넷,3.0
374,썬킴의 거침없는 시리즈,중국 일본 히틀러 독일 대전 만주족,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['0', '100', '0', '0', '0']",썬킴 저자(글),지식의숲,2.0
375,자유시장,프리드먼 키케로 애덤 스미스 하이에크 케인스 국부론,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 경제/경영 > 각국경제 > 세계경제사']","['0', '40', '0', '20', '40']",제이컵 솔 저자(글) · 홍기빈 번역,아르테(arte),8.0
376,"영화보다, 세계사",타이타닉 르완다 인터 스텔라 티벳 아프리카 헤븐,"['국내도서 > 역사/문화 > 세계사 > 세계사이야기', '국내도서 > 역사/문화 > 청소년 역사', '국내도서 > 청소년 > 청소년 역사']","['50', '25', '0', '0', '25']",송영심 저자(글) · 신병근 그림/만화,풀빛,4.0
377,하룻밤에 읽는 세계사,중국 유럽 문명 아메리카 이슬람 로마,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['42', '30', '15', '0', '12']",미야자키 마사카츠 저자(글) · 이영주 번역,알에이치코리아,40.0
378,로마인 이야기 10: 모든 길은 로마로 통한다,왕래 유럽사 인프라 로마사 차단 동과,"['국내도서 > 역사/문화 > 서양사 > 유럽사 > 그리스', '국내도서 > 역사/문화 > 세계사 > 건국사/멸망사']","['43', '29', '14', '0', '14']",시오노 나나미 저자(글) · 김석희 번역,한길사,23.0
379,제2차 세계대전 인포그래픽,유럽 전쟁사 소련 독일 상륙작전 밀리터리,"['국내도서 > 역사/문화 > 세계사 > 세계사이야기', '국내도서 > 정치/사회 > 국방/군사 > 전쟁/전쟁사']","['42', '0', '16', '5', '37']","장 로페즈 , 니콜라 오뱅 , 뱅상 배르나르 , 니콜라 기유라 저자(글) · 김보희 번역",레드리버,27.0
380,명화로 보는 단테의 신곡,사랑 미술이야기 토마스 아퀴나스 베아트리체 하느님 성찰,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 소설 > 그외유럽소설 > 이탈리아소설', '국내도서 > 소설 > 고전소설/문학선 > 고전소설/문학선일반', '국내도서 > 예술/대중문화 > 미술 > 교양미술 > 미술이야기']","['66', '13', '7', '7', '8']",단테 알리기에리 저자(글) · 이선종 번역,미래타임즈,101.0
381,세계사를 바꾼 6가지 음료,역사 음료 메소포타미아 증류주 문화 맥주,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 역사/문화 > 문화일반 > 음식문화']","['67', '0', '17', '17', '0']",톰 스탠디지 저자(글) · 김정수 번역,캐피털북스,12.0
382,30개 도시로 읽는 세계사,장안 흐름 아테네 문명 로마 지중해,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['32', '38', '9', '1', '19']",조 지무쇼 저자(글) · 최미숙 번역 · 진노 마사후미 감수,다산북스,138.0
383,세계사를 바꾼 13가지 식물,유럽 콜럼버스 옥수수 아시아 초강대국 아편전쟁,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 과학 > 교양과학 > 교양식물']","['36', '29', '10', '5', '20']",이나가키 히데히로 저자(글) · 서수지 번역,사람과나무사이,143.0
384,기후로 다시 읽는 세계사,유럽 중국 인류세 몽골 유라시아 마야,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['4', '46', '13', '4', '33']",이동민 저자(글),갈매나무,24.0
385,별들의 흑역사,중국 프랑스군 모리스 무솔리니 조지프 이탈리아,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 정치/사회 > 국방/군사 > 전쟁/전쟁사']","['25', '30', '10', '10', '25']",권성욱 저자(글),교유서가,20.0
386,지도로 보는 인류의 흑역사,우유니 미국 영국 카멜 아이티 이탈리아,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['10', '40', '20', '10', '20']",트래비스 엘버러 저자(글) · 성소희 번역,한겨레출판사,11.0
387,설탕으로 보는 세계사,하우스 영국 정치 아메리카 남북 크롬웰,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['100', '0', '0', '0', '0']",가와키타 미노루 저자(글) · 김정희 번역,에이케이커뮤니케이션즈,3.0
388,걸리 드링크,업자 맥주 예카테리나 금주법 보드카 밀매,"['국내도서 > 인문 > 인문학일반 > 인문교양', '국내도서 > 역사/문화 > 세계사 > 교양세계사']","['20', '20', '20', '20', '20']",맬러리 오마라 저자(글) · 정영은 번역,알에이치코리아,5.0
389,로마인 이야기 8: 위기와 극복,일본 작가 유럽사 오토 로마사 번영 제국,"['국내도서 > 역사/문화 > 서양사 > 유럽사 > 그리스', '국내도서 > 역사/문화 > 세계사 > 건국사/멸망사']","['67', '0', '22', '0', '11']",시오노 나나미 저자(글) · 김석희 번역,한길사,17.0
390,철의 시대,대량 생산 강철 개막 현대 문명 크리스천 제철,"['국내도서 > 청소년 > 청소년 역사', '국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 역사/문화 > 청소년 역사']","['38', '38', '0', '0', '25']",강창훈 저자(글),창비,10.0
391,청소년을 위한 친절한 세계사,선사 시대 뉴베리상 아빠 장로교 청소년역사 현대 문명,"['국내도서 > 청소년 > 청소년 역사', '국내도서 > 역사/문화 > 세계사 > 세계사이야기', '국내도서 > 역사/문화 > 청소년 역사']","['0', '33', '33', '0', '33']",헨드릭 빌렘 반 룬 저자(글) · 박일귀 번역,문예춘추사,3.0
392,"소재, 인류와 만나다",로마 교양세계사 다마스쿠스 문명 조선 맬서스,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['0', '40', '20', '40', '0']",홍완식 저자(글),삼성경제연구소,5.0
393,기독교로 보는 세계역사,이동원 나사렛 예수 성결 진술 신앙 동력,"['국내도서 > 종교 > 기독교(개신교) > 기독교역사 > 기독교역사', '국내도서 > 역사/문화 > 세계사 > 세계사이야기']","['50', '0', '25', '25', '0']",김동주 저자(글),킹덤북스,4.0
394,만년필 탐심,파커 문구 몽블랑 비밀 노트 캡틴 탐심,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 인문 > 인문학일반 > 인문교양']","['33', '28', '6', '11', '22']",박종진 저자(글),틈새책방,20.0
395,실크로드 세계사 세트(블루 커버 에디션),연결망 세계경제 서유럽 중국 문화교류 중동,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['44', '22', '4', '11', '19']",피터 프랭코판 저자(글) · 이재황 번역,책과함께,28.0
396,"전쟁과 약, 기나긴 악연의 역사",페스트 바이러스 아프가니스탄 질병 스페인 의약품,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['27', '20', '20', '0', '33']",백승만 저자(글),동아시아,18.0
397,사회사상의 역사,문맥 전체주의 국부론 종교개혁 스미스 애덤스미스,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 정치/사회 > 사회학 > 사회사상 > 사회사상일반']","['38', '50', '0', '0', '13']",사카모토 다쓰야 저자(글) · 최연희 번역,교유서가,9.0
398,세계사를 바꾼 50권의 책,셰익스피어 구텐베르크 군주론 제이콥스 호킹 마키아벨리,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['11', '53', '0', '16', '21']",대니얼 스미스 저자(글) · 임지연 번역,크레타,20.0
399,경제 전쟁의 흑역사,중국 소련 유럽 미국 보호 무역 자유 무역,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 경제/경영 > 경제일반 > 청소년경제', '국내도서 > 경제/경영 > 각국경제 > 세계경제사', '국내도서 > 청소년 > 청소년 경제']","['18', '32', '5', '14', '32']",이완배 저자(글),북트리거,23.0
400,넷플릭스 세계사,뤼팽 퀸스 시카고 라이징 우루과이 실종사건,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['0', '25', '0', '0', '75']","오애리 , 이재덕 저자(글)",푸른숲,4.0
401,여왕이 사랑한 사람들,버트런드 가디언 메모리얼 영국 테이트 빅토리아 시대,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['20', '60', '0', '20', '0']",리턴 스트레이치 저자(글) · 김윤경 번역,글항아리,5.0
402,마스터스 오브 디 에어 1,독일 드레스덴 하노버 스티븐 스필버그 브라더스 폭격,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['40', '20', '0', '0', '40']",도널드 L. 밀러 저자(글) · 이동훈 번역,행북,5.0
403,금속의 쓸모,마그네슘 제련 화학 불순물 알루미늄 칼슘,"['국내도서 > 청소년 > 청소년 과학/컴퓨터', '국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 과학 > 교양과학 > 과학이야기', '국내도서 > 과학 > 청소년 교양과학']","['7', '7', '7', '71', '7']",표트르 발치트 저자(글) · 빅토리야 스테블레바 그림/만화 · 기도현 번역 · 김경숙 감수,북멘토,14.0
404,"오디오, 라이프, 디자인",하이엔드 혁신 아날로그 교양세계사 믹 시대 영감,"['국내도서 > 예술/대중문화 > 예술일반 > 예술이야기', '국내도서 > 역사/문화 > 세계사 > 교양세계사']","['71', '14', '0', '14', '0']",기디언 슈워츠 저자(글) · 이현준 번역,을유문화사,14.0
405,어제까지의 세계,전쟁 당뇨병 문화인류학 내가 전통 사회 미래인,"['국내도서 > 역사/문화 > 세계사 > 세계사이야기', '국내도서 > 역사/문화 > 문화일반 > 세계문화사', '국내도서 > 역사/문화 > 문화사 > 세계문화사']","['41', '15', '12', '3', '29']",재레드 다이아몬드 저자(글) · 강주헌 번역,김영사,59.0
406,로마인 이야기 12: 위기로 치닫는 제국,로마 제국 유럽사 페르시아 전쟁 로마사 재위 황제,"['국내도서 > 역사/문화 > 서양사 > 유럽사 > 그리스', '국내도서 > 역사/문화 > 세계사 > 건국사/멸망사']","['30', '40', '20', '0', '10']",시오노 나나미 저자(글) · 김석희 번역,한길사,30.0
407,세계사를 움직이는 다섯 가지 힘,역사 유럽 이슬람 욕망 몬스터 중국,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['56', '11', '6', '17', '11']",사이토 다카시 저자(글) · 홍성민 번역,뜨인돌출판사,54.0
408,전쟁사 문명사 세계사 1: 모든 지식의 시작,중국 로마 교양세계사 메소포타미아 문명 페르시아 전쟁 폴리스,"['국내도서 > 역사/문화 > 세계사 > 세계사이야기', '국내도서 > 정치/사회 > 국방/군사 > 전쟁/전쟁사']","['59', '18', '9', '0', '14']",허진모 저자(글),미래문화사,23.0
409,연필,소련 에디슨 교양세계사 흑연 발전 미국,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['38', '8', '15', '23', '15']",헨리 페트로스키 저자(글) · 홍성림 번역,서해문집,14.0
410,우주 비밀 파일,아이젠하워 넷플릭스 마릴린 먼로 트루먼 외계문명 아폴로,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['0', '17', '17', '50', '17']",스티븐 M. 그리어 저자(글) · 박병오 번역,느린걸음,9.0
411,무역의 세계사,경제사 동인도 금융 메소포타미아 대항해시대 외교,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 경제/경영 > 각국경제 > 세계경제사']","['38', '8', '42', '4', '8']",윌리엄 번스타인 저자(글) · 박홍경 번역,라이팅하우스,32.0
412,통세계사 2,최신 이슈 흉노 동서양 게르만 커버스토리 정치 경제,"['국내도서 > 청소년 > 청소년 역사', '국내도서 > 역사/문화 > 세계사 > 세계사이야기', '국내도서 > 역사/문화 > 청소년 역사']","['55', '27', '0', '0', '18']",김상훈 저자(글),다산초당,11.0
413,하늘에 그려진 이야기,역사 사회 지중해 제우스 프톨레마이오스 문화,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 과학 > 교양과학 > 별자리']","['68', '16', '0', '8', '8']",데이비드 W. 마셜 저자(글) · 이종인 번역,커넥팅,28.0
414,"힌두교사 깊이 읽기, 종교학이 아닌 역사학으로",유럽 힌두교 대승불교 사회사 종교 베다,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 종교 > 그외종교 > 힌두교']","['33', '17', '17', '0', '33']",이광수 저자(글),푸른역사,6.0
415,커피 세계사+한국 가배사,조선 유럽 카페 대중화 브라질 모카,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 요리 > 와인/커피/음료 > 커피']","['71', '7', '7', '0', '14']",이길상 저자(글),푸른역사,14.0
416,전쟁과 무기의 세계사,전쟁사 해전 나폴레옹 상륙작전 투르 독일,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['11', '33', '11', '0', '44']",이내주 저자(글),채륜서,16.0
417,신의 전쟁,이슬람 국가 홉스 무슬림 마르틴 루터 예수 인도,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 정치/사회 > 국방/군사 > 전쟁/전쟁사', '국내도서 > 종교 > 종교일반 > 종교사']","['48', '0', '36', '4', '12']",카렌 암스트롱 저자(글) · 정영목 번역,교양인,28.0
418,세계사를 바꾼 37가지 물고기 이야기,대구 유럽사 잉글랜드 교양세계사 중세 유럽 세기 유럽,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['28', '39', '11', '6', '17']",오치 도시유키 저자(글) · 서수지 번역,사람과나무사이,43.0
419,세계사를 바꾼 10가지 감염병,스페인 페스트 구텐베르크 영국 에이즈 프랑스,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 기술/공학 > 의학 > 의학이론 > 의학사', '국내도서 > 기술/공학 > 의학 > 내과 > 전염병/감염']","['42', '16', '16', '11', '16']",조지무쇼 저자(글) · 서수지 번역 · 와키무라 고헤이 감수,사람과나무사이,31.0
420,인류를 구한 12가지 약 이야기,내면 바이오 의약 약물 바이엘 프로바이오틱스,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 기술/공학 > 의학 > 의학이야기']","['45', '23', '5', '5', '23']",정승규 저자(글),반니,54.0
421,옥스퍼드 세계사,데이비드 진화 크리스천 문명 인류세 지리,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['29', '5', '19', '24', '24']",펠리페 페르난데스아르메스토 외 10인 저자(글) · 이재만 번역,교유서가,31.0
422,"제1,2차 세계대전 세트",전쟁사 유럽 기록 외교사 연구 그림,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['57', '7', '7', '0', '29']",A. J. P. 테일러 저자(글) · 유영수 번역,페이퍼로드,16.0
423,세계사를 바꾼 15번의 무역전쟁,중국 일본 소련 미국 교양세계사 춘추 시대,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 경제/경영 > 각국경제 > 세계경제사']","['29', '36', '21', '7', '7']","자오타오 , 류후이 저자(글) · 박찬철 번역",위즈덤하우스,25.0
424,과일 길들이기의 역사,인문교양서 예술가 야자나무 창의력 헨리 데이비드 소로 트러스,"['국내도서 > 인문 > 인문학일반 > 인문교양', '국내도서 > 역사/문화 > 세계사 > 교양세계사']","['13', '38', '0', '25', '25']",베른트 부르너 저자(글) · 박경리 번역,b.read(브레드),8.0
425,초상화로 읽는 세계사,마리 앙투아네트 엘리자베스 루이 제인 해밀턴,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['33', '0', '33', '0', '33']",김인철 저자(글),양문출판사,3.0
426,몸으로 읽는 세계사,클레오파트라 마르틴 루터 크롬웰 우진 프리다 조지 워싱턴,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['28', '12', '12', '12', '36']","캐스린 페트라스 , 로스 페트라스 저자(글) · 박지선 번역",다산초당,31.0
427,도쿠가와 이에야스,도요토미 히데요시 에도 노부나가 토요 오다 토미,"['국내도서 > 역사/문화 > 동양사 > 일본사 > 일본사일반', '국내도서 > 시/에세이 > 인물/자전적에세이 > 역사인물', '국내도서 > 역사/문화 > 세계사 > 세계역사인물', '국내도서 > 역사/문화 > 역사인물 > 세계역사인물']","['0', '67', '0', '0', '33']",나카무라 도키조 저자(글) · 박현석 번역,현인,3.0
428,감정의 역사,심리치료 지멘스 독일 궁정 히틀러 파라,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['100', '0', '0', '0', '0']",김학이 저자(글),푸른역사,4.0
429,실수와 오류의 세계사,사무엘 미신 홉킨스 발명품 신성모독 트랜드,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['13', '7', '20', '20', '40']",소피 스털링 저자(글) · 김미선 번역,탐나는책,15.0
430,강제혁신,오스만 몽골 스웨덴 제프리 시모노세키 이슬람,"['국내도서 > 역사/문화 > 세계사 > 세계사이야기', '국내도서 > 정치/사회 > 국방/군사 > 전쟁/전쟁사']","['25', '25', '0', '0', '50']",이주희 저자(글),EBS BOOKS,8.0
431,"1일 1페이지 그날, 우리가 몰랐던 중남미 세계사",멕시코 아르헨티나 우루과이 남미 페루 쿠바,['국내도서 > 역사/문화 > 세계사 > 세계사이야기'],"['0', '50', '0', '50', '0']",윤장훈 저자(글),팬덤북스,2.0
432,플루타르코스 영웅전 세트(완역본),카토 고전 세계사 알렉산드로스 한니발 윤리,"['국내도서 > 역사/문화 > 세계사 > 기타국가역사인물', '국내도서 > 시/에세이 > 인물/자전적에세이 > 역사인물', '국내도서 > 역사/문화 > 역사인물 > 기타국가역사인물']","['61', '17', '17', '0', '6']",플루타르코스 저자(글) · 신복룡 번역,을유문화사,22.0
433,수술의 탄생,파스퇴르 교양세계사 존슨 의학이야기 로런스 위생,"['국내도서 > 역사/문화 > 세계사 > 교양세계사', '국내도서 > 기술/공학 > 의학 > 의학이야기']","['38', '25', '25', '13', '0']",린지 피츠해리스 저자(글) · 이한음 번역,열린책들,10.0
434,페리클레스,아테네 민주주의자 그리스 고대 제국주의자 전략가,"['국내도서 > 역사/문화 > 세계사 > 세계역사인물', '국내도서 > 시/에세이 > 인물/자전적에세이 > 역사인물', '국내도서 > 역사/문화 > 서양사 > 유럽사 > 그리스', '국내도서 > 역사/문화 > 역사인물 > 세계역사인물']","['0', '100', '0', '0', '0']",도널드 케이건 저자(글) · 류현 번역,지식향연,2.0
435,로마인 이야기 1: 로마는 하루아침에 이루어지지 않았다,로마사 유럽사 그리스 상상력 대작가 영웅전,"['국내도서 > 역사/문화 > 서양사 > 유럽사 > 그리스', '국내도서 > 역사/문화 > 세계사 > 건국사/멸망사']","['53', '28', '12', '1', '5']",시오노 나나미 저자(글) · 김석희 번역,한길사,217.0
436,로마인 이야기 11: 종말의 시작,아우렐리우스 유럽사 마르쿠스 로마사 루스 에드워드,"['국내도서 > 역사/문화 > 서양사 > 유럽사 > 그리스', '국내도서 > 역사/문화 > 세계사 > 건국사/멸망사']","['67', '11', '11', '0', '11']",시오노 나나미 저자(글) · 김석희 번역,한길사,22.0
437,로마인 이야기 13: 최후의 노력,니케아 유럽사 로마 제국 로마사 밀라노 기독교,"['국내도서 > 역사/문화 > 서양사 > 유럽사 > 그리스', '국내도서 > 역사/문화 > 세계사 > 건국사/멸망사']","['22', '33', '44', '0', '0']",시오노 나나미 저자(글) · 김석희 번역,한길사,22.0
438,로마인 이야기 15: 로마 세계의 종언,아우구스티누스 갈리아 유럽사 리카 장군 서로마,"['국내도서 > 역사/문화 > 서양사 > 유럽사 > 로마사', '국내도서 > 역사/문화 > 세계사 > 건국사/멸망사']","['91', '0', '9', '0', '0']",시오노 나나미 저자(글) · 김석희 번역,한길사,26.0
439,두선생의 지도로 읽는 세계사: 서양 편,역사 유럽 중남미 한국사 국제정치 중동 지역,"['국내도서 > 역사/문화 > 지리학 > 세계지리', '국내도서 > 역사/문화 > 세계사 > 세계사이야기', '국내도서 > 역사/문화 > 서양사 > 서양사일반']","['36', '36', '6', '3', '18']",한영준 저자(글),21세기북스,53.0
440,둠 재앙의 정치학,체르노빌 교양세계사 에이즈 팬데믹 슈뢰딩거 파인만,['국내도서 > 역사/문화 > 세계사 > 교양세계사'],"['43', '5', '14', '14', '24']",니얼 퍼거슨 저자(글) · 홍기빈 번역,21세기북스,42.0
