,title,keyword,category,score,author,publisher,reviewnum
41,나는 그해 겨울 저들이 한 짓을 알고 있다,진실 이제 최종 사건 저자 해당,"['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치비평', '국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반']","['21', '2', '2', '28', '47']",변희재 저자(글),미디어워치,51.0
42,혼돈의 시대 리더의 탄생,리더십 시대 탄생 정치학 연구 교양서,"['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치일반서', '국내도서 > 자기계발 > 비즈니스능력계발 > 리더십향상']","['43', '20', '20', '2', '16']",도리스 컨스 굿윈 저자(글) · 강주헌 번역,커넥팅,217.0
43,"미안해요, 이재명",여성 조선 정부 정책 진실 비판,"['국내도서 > 정치/사회 > 정치/외교 > 정치가', '국내도서 > 시/에세이 > 인물/자전적에세이 > 정치가/법조인', '국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치사']","['25', '0', '0', '50', '25']","백승대 , 이수현 저자(글)",매직하우스,5.0
44,전환시대의 논리,정치 중국 전쟁 동양사 현실 정치사상,"['국내도서 > 정치/사회 > 정치/외교 > 정치사상 > 정치사상', '국내도서 > 역사/문화 > 동양사 > 동양사일반']","['38', '3', '38', '3', '19']",리영희 저자(글),창작과비평사,45.0
45,권력의 조건,역사 인생 전쟁 운명 개선 편지,"['국내도서 > 정치/사회 > 정치/외교 > 정치가', '국내도서 > 시/에세이 > 인물/자전적에세이 > 정치가/법조인']","['50', '0', '33', '17', '0']",도리스 컨스 굿윈 저자(글) · 이수연 번역,아르테(arte),7.0
46,"뉴스, 믿어도 될까?",리터 청소년정치사회 러시 언론사 언론 보도 디지털 기술,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']","['27', '18', '14', '5', '36']",구본권 저자(글) · 안병현 그림/만화,풀빛,26.0
47,교실에서 세계 시민 되기 SDGs 테마 수업 워크북: 중등 편,성 평등 빈곤 문제 최신 이슈 종식 지속 가능 학교 현장,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']","['33', '0', '67', '0', '0']","강혜미 , 박민수 , 백수진 , 양철진 , 이예지 , 이지홍 , 정현미 , 홍연진 저자(글) · 봉관 그림/만화",창비교육,4.0
48,보좌의 정치학,직업 조직 실무 전략 업무 운동,['국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 정치일반서'],"['100', '0', '0', '0', '0']",이진수 저자(글),호두나무,1.0
49,10대와 통하는 법과 재판 이야기,악법 대한민국 헌법 헌법 재판소 법관 평화 약자,"['국내도서 > 청소년 > 청소년 인문교양', '국내도서 > 정치/사회 > 정치/외교 > 정치일반 > 청소년정치사회']","['75', '25', '0', '0', '0']",이지현 저자(글),철수와영희,5.0
50,"차이나 쇼크, 한국의 선택",정치 경제 산업 뉴노멀 시진핑 위기,"['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 중국정치', '국내도서 > 정치/사회 > 사회학 > 각국사회/문화 > 중국사회/문화']","['31', '23', '20', '0', '26']",한청훤 저자(글),사이드웨이,45.0
51,우리는 왜 시국선언을 하는가,역사 정치 국민 기록 위기 정부,['국내도서 > 정치/사회 > 정치/외교 > 각국정치 > 한국정치일반'],"['100', '0', '0', '0', '0']","김성진 , 강기석 , 고일석 , 김민웅 , 이명재 , 전지윤 , 한승동 저자(글)",민들레북,1.0
